kW;día;hora;temperatura;año;mes;estacion;tipo_dia
19,776;10;10;10,5;2019;1;verano;habil
19,2;10;11;11,05;2019;1;verano;habil
22,32;10;12;12,05;2019;1;verano;habil
21,264;10;13;12,95;2019;1;verano;habil
20,544;10;14;13,7;2019;1;verano;habil
19,968;10;15;14,55;2019;1;verano;habil
18,672;10;16;14,9;2019;1;verano;habil
20,016;10;17;15,2;2019;1;verano;habil
22,272;10;18;15,45;2019;1;verano;habil
25,056;10;19;15,6;2019;1;verano;habil
32,64;10;20;15,65;2019;1;verano;habil
35,088;10;21;15,65;2019;1;verano;habil
41,328;10;22;15,7;2019;1;verano;habil
;10;23;15,75;2019;1;verano;habil
36,864;11;0;15,65;2019;1;verano;habil
28,752;11;1;15,45;2019;1;verano;habil
26,352;11;2;15,4;2019;1;verano;habil
25,104;11;3;15,4;2019;1;verano;habil
24,336;11;4;15,35;2019;1;verano;habil
23,904;11;5;15,25;2019;1;verano;habil
24,96;11;6;15,4;2019;1;verano;habil
18,72;11;7;15,5;2019;1;verano;habil
19,296;11;8;15,55;2019;1;verano;habil
19,92;11;9;16,25;2019;1;verano;habil
22,416;11;10;17,85;2019;1;verano;habil
23,856;11;11;19,85;2019;1;verano;habil
25,152;11;12;21,3;2019;1;verano;habil
28,368;11;13;22,65;2019;1;verano;habil
29,952;11;14;23,6;2019;1;verano;habil
29,616;11;15;24,75;2019;1;verano;habil
28,704;11;16;25,7;2019;1;verano;habil
34,512;11;17;26,25;2019;1;verano;habil
35,52;11;18;26,9;2019;1;verano;habil
30,24;11;19;27,15;2019;1;verano;habil
31,824;11;20;26,7;2019;1;verano;habil
;11;21;26;2019;1;verano;habil
42,24;11;22;25,3;2019;1;verano;habil
42,768;11;23;24,05;2019;1;verano;habil
41,952;12;0;22,95;2019;1;verano;no habil
37,296;12;1;22,1;2019;1;verano;no habil
35,184;12;2;20,95;2019;1;verano;no habil
34,176;12;3;20,2;2019;1;verano;no habil
33,696;12;4;19,5;2019;1;verano;no habil
32,304;12;5;18,65;2019;1;verano;no habil
33,072;12;6;17,65;2019;1;verano;no habil
25,536;12;7;17,55;2019;1;verano;no habil
24,816;12;8;17,95;2019;1;verano;no habil
24,384;12;9;19,15;2019;1;verano;no habil
24,816;12;10;21;2019;1;verano;no habil
28,56;12;11;22,65;2019;1;verano;no habil
32,448;12;12;24,5;2019;1;verano;no habil
41,856;12;13;26,15;2019;1;verano;no habil
55,392;12;14;27,4;2019;1;verano;no habil
61,296;12;15;28,4;2019;1;verano;no habil
61,2;12;16;29,3;2019;1;verano;no habil
59,616;12;17;30,05;2019;1;verano;no habil
56,208;12;18;30,5;2019;1;verano;no habil
52,128;12;19;30,6;2019;1;verano;no habil
47,568;12;20;30,15;2019;1;verano;no habil
51,984;12;21;29,4;2019;1;verano;no habil
53,184;12;22;28,5;2019;1;verano;no habil
53,904;12;23;27,25;2019;1;verano;no habil
49,536;13;0;26,7;2019;1;verano;no habil
48,336;13;1;25,5;2019;1;verano;no habil
47,088;13;2;22,2;2019;1;verano;no habil
41,376;13;3;20,3;2019;1;verano;no habil
