kW;temperatura;año;mes;hora;día;estacion;tipo_dia
28,704;25,7;2019;1;16;11;verano;habil
34,512;26,25;2019;1;17;11;verano;habil
35,52;26,9;2019;1;18;11;verano;habil
30,24;27,15;2019;1;19;11;verano;habil
31,824;26,7;2019;1;20;11;verano;habil
40,272;26;2019;1;21;11;verano;habil
42,24;25,3;2019;1;22;11;verano;habil
42,768;24,05;2019;1;23;11;verano;habil
41,952;22,95;2019;1;0;12;verano;no habil
37,296;22,1;2019;1;1;12;verano;no habil
35,184;20,95;2019;1;2;12;verano;no habil
34,176;20,2;2019;1;3;12;verano;no habil
33,696;19,5;2019;1;4;12;verano;no habil
32,304;18,65;2019;1;5;12;verano;no habil
33,072;17,65;2019;1;6;12;verano;no habil
25,536;17,55;2019;1;7;12;verano;no habil
24,816;17,95;2019;1;8;12;verano;no habil
24,384;19,15;2019;1;9;12;verano;no habil
24,816;21;2019;1;10;12;verano;no habil
28,56;22,65;2019;1;11;12;verano;no habil
32,448;24,5;2019;1;12;12;verano;no habil
41,856;26,15;2019;1;13;12;verano;no habil
55,392;27,4;2019;1;14;12;verano;no habil
61,296;28,4;2019;1;15;12;verano;no habil
61,2;29,3;2019;1;16;12;verano;no habil
59,616;30,05;2019;1;17;12;verano;no habil
56,208;30,5;2019;1;18;12;verano;no habil
52,128;30,6;2019;1;19;12;verano;no habil
47,568;30,15;2019;1;20;12;verano;no habil
51,984;29,4;2019;1;21;12;verano;no habil
53,184;28,5;2019;1;22;12;verano;no habil
53,904;27,25;2019;1;23;12;verano;no habil
49,536;26,7;2019;1;0;13;verano;no habil
48,336;25,5;2019;1;1;13;verano;no habil
47,088;22,2;2019;1;2;13;verano;no habil
41,376;20,3;2019;1;3;13;verano;no habil
40,032;18,45;2019;1;4;13;verano;no habil
38,016;17,7;2019;1;5;13;verano;no habil
36,768;17,05;2019;1;6;13;verano;no habil
26,496;16,8;2019;1;7;13;verano;no habil
23,28;16,9;2019;1;8;13;verano;no habil
22,608;17,45;2019;1;9;13;verano;no habil
23,088;18,6;2019;1;10;13;verano;no habil
23,28;18,9;2019;1;11;13;verano;no habil
24,432;19,5;2019;1;12;13;verano;no habil
24,528;20,9;2019;1;13;13;verano;no habil
26,88;22,75;2019;1;14;13;verano;no habil
25,872;23,55;2019;1;15;13;verano;no habil
24,24;24;2019;1;16;13;verano;no habil
24,384;24,15;2019;1;17;13;verano;no habil
25,776;24,2;2019;1;18;13;verano;no habil
26,208;24,2;2019;1;19;13;verano;no habil
37,2;23,55;2019;1;20;13;verano;no habil
41,52;22,95;2019;1;21;13;verano;no habil
43,392;22,7;2019;1;22;13;verano;no habil
39,552;22,75;2019;1;23;13;verano;no habil
36,288;21,5;2019;1;0;14;verano;habil
34,224;19,75;2019;1;1;14;verano;habil
33,6;18,85;2019;1;2;14;verano;habil
29,28;18,6;2019;1;3;14;verano;habil
27,456;17,65;2019;1;4;14;verano;habil
26,544;17,3;2019;1;5;14;verano;habil
28,272;16,8;2019;1;6;14;verano;habil
19,728;16,85;2019;1;7;14;verano;habil
20,832;17,05;2019;1;8;14;verano;habil
21,12;17,2;2019;1;9;14;verano;habil
22,8;17,45;2019;1;10;14;verano;habil
20,112;18,2;2019;1;11;14;verano;habil
